-1,72,9.794978,0.36871833,0.4189981,0,0,0,,,
-3,72,10.206794,0.36871833,-0.08619389,2.24338,-2.857954,-0.51858,,,
-3,72,10.122993,0.91461295,-0.13168511,-0.497795,0.857336,0.09105,,,
-3,72,8.983319,0.31843856,-0.22506183,0.354375,-0.405152,0.21097,,,
-3,72,9.632168,0.6273,-0.6488485,0.159564,-2.249532,-0.44284,,,
-3,72,10.24989,0.9074302,0.5363176,0.411196,0.327091,-0.57807,,,
-3,72,9.071907,0.37829542,-0.69194543,0.35525,0.174436,0.81333,,,
-5,73,10.903527,-0.61293435,0.17238778,-0.398435,-0.100965,-0.384176,,,
-6,72,10.415095,-0.007182824,0.30886146,-0.396805,-0.474586,-0.363449,,,
-6,73,9.694419,-0.13168511,0.75659084,0.54461,-2.129601,0.005341,,,
-7,73,8.679246,-0.13168511,0.25139886,0.051376,0.686899,-0.824256,,,
-7,73,10.410307,-0.30167863,-1.0319325,-0.149742,-0.987049,0.567145,,,
-6,72,9.900327,-0.11013664,1.1731946,0.38768,-0.306854,-0.970655,,,
-7,73,10.862824,0.12929083,-1.1109436,-3.767639,0.472276,-0.17408,,,
-9,73,9.634562,-0.967287,-0.6560313,-4.202325,-2.009662,-0.58802,,,
-13,73,9.287392,-0.9624985,-0.8044763,1.86935,-0.417775,-0.29402,,,
-14,73,10.575512,-1.462902,-0.723071,0.55006,-0.158966,0.31198,,,
-23,73,9.282603,-2.1021733,-1.1109436,-0.15328,-2.200564,0.989095,,,
-25,73,9.648928,-1.6233183,-2.727079,-0.59249,-2.431439,0.14154,,,
-28,72,9.529214,-2.3559663,-1.8866886,0.46886,-2.9060266,-0.171409,,,
-27,73,8.71516,-2.2841382,-1.132492,0.247065,-1.3204529,-0.218266,,,
-27,72,9.826104,-1.7166951,-0.9481328,-0.10643,-1.7055104,0.0721,,,
-18,72,10.091868,-0.8834874,-1.4317763,0.2323,-1.8435438,-0.12857,,,
-18,73,9.711179,-0.083799616,-1.1564348,-0.10643,0.7310863,-0.42026,,,
-9,73,9.660899,-0.41181526,-0.76616794,-0.376985,-0.1790583,-0.13353,,,
-9,73,9.534002,0.32801566,-0.8379962,0.25337,1.0214579,-0.29402,,,
-9,73,10.218765,0.33759275,-1.5203645,0.67631,0.5859008,0.444544,,,
-9,73,10.149331,-0.21069619,-0.37111259,-0.48872,-2.15564195,0.126056,,,
-9,73,9.419077,-0.64166564,-1.3360053,-0.63037,-0.16527828,0.52659,,,
-12,73,10.0439825,-0.26097596,-1.2306572,0.082936,0.49121413,0.34355,,,
